category,title,lprice,brand,maker,link,image,productId,mallName
사료,캐츠랑 전연령 리브레 5kg 캣츠랑 고양이 대용량 길냥이 길고양이 사료 고양이밥,11900,,,https://smartstore.naver.com/main/products/4887807302,https://shopping-phinf.pstatic.net/main_8243233/82432330790.12.jpg,82432330790,해피와야옹이
사료,고양이사료 대용량 캐츠랑 Libre 10kg(5kg x2) 길고양이 길냥이 사료,22500,캐츠랑,대주산업,https://smartstore.naver.com/main/products/10174399956,https://shopping-phinf.pstatic.net/main_8771890/87718903298.11.jpg,87718903298,캣하우스
사료,캐츠랑 비타플러스 전연령 고양이 사료 캣츠랑 5kg x2개 10kg 대용량 길냥이,24500,캐츠랑,대주산업,https://smartstore.naver.com/main/products/8560354503,https://shopping-phinf.pstatic.net/main_8610485/86104854826.3.jpg,86104854826,파워도그
사료,뉴트리나 프라임캣 옐로우 20kg 고양이사료 대용량 길냥이밥 길고양이사료 성묘 헤어볼,31500,뉴트리나,,https://smartstore.naver.com/main/products/11961100468,https://shopping-phinf.pstatic.net/main_8950561/89505611160.3.jpg,89505611160,남양펫푸드
사료,"잘먹잘싸 황금변 피부 모질 고양이 사료 연어, 2kg, 1개",19800,잘먹잘싸,,https://search.shopping.naver.com/catalog/52379013618,https://shopping-phinf.pstatic.net/main_5237901/52379013618.20250108103625.jpg,52379013618,네이버
사료,캐츠랑 전연령 리브레 5kgx4개 20kg 고양이 사료 캣츠랑 대용량 길고양이 길냥이사료,43500,캐츠랑,대주산업,https://smartstore.naver.com/main/products/5328876760,https://shopping-phinf.pstatic.net/main_8287336/82873369363.11.jpg,82873369363,파워도그
사료,뉴트리나 프라임캣 옐로우 20kg 고양이사료 대용량 길고양이사료 길냥이밥 전연령 뉴트리나,25500,뉴트리나,,https://link.gmarket.co.kr/gate/pcs?item-no=4445519189&sub-id=1003&service-code=10000003&lcd=100000038,https://shopping-phinf.pstatic.net/main_5532350/55323506464.1.jpg,55323506464,G마켓
사료,대용량 고양이사료 에브리캣 참치&amp;닭고기10kg 전연령 인도어캣 길냥이밥 겸용,22000,,,https://smartstore.naver.com/main/products/5154463385,https://shopping-phinf.pstatic.net/main_8269898/82698984308.4.jpg,82698984308,사료영양학교실
사료,"캐츠랑 비타 플러스 전연령 닭 참치, 20kg, 1개",41900,캐츠랑,,https://search.shopping.naver.com/catalog/53549201877,https://shopping-phinf.pstatic.net/main_5354920/53549201877.20250314150000.jpg,53549201877,네이버
사료,"로얄캐닌 캣 가스트로 인테스티널 화이버 리스폰스 위장관리, 2kg, 1개",42490,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/53549202076,https://shopping-phinf.pstatic.net/main_5354920/53549202076.20250314151051.jpg,53549202076,네이버
사료,"로얄캐닌 캣 레날 스페셜 신장질환 관리, 4kg, 1개",65410,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/53549797644,https://shopping-phinf.pstatic.net/main_5354979/53549797644.20250314155852.jpg,53549797644,네이버
사료,"로얄캐닌 캣 가스트로인테스티널, 4kg, 1개",64530,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/53627384669,https://shopping-phinf.pstatic.net/main_5362738/53627384669.20250318155537.jpg,53627384669,네이버
사료,"로얄캐닌 캣 인도어 27, 4kg, 1개",53550,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/55380699579,https://shopping-phinf.pstatic.net/main_5538069/55380699579.20250619143105.jpg,55380699579,네이버
사료,"로얄캐닌 유리너리 S/O 하이딜루션 요로건강, 3.5kg, 1개",64340,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/53549707929,https://shopping-phinf.pstatic.net/main_5354970/53549707929.20250319152412.jpg,53549707929,네이버
사료,퓨리나 프로플랜 리브클리어 어덜트 고양이 알러지 알레르기 1.5kg 27년 3월,35200,퓨리나,,https://smartstore.naver.com/main/products/12351177514,https://shopping-phinf.pstatic.net/main_8989568/89895688231.7.jpg,89895688231,쌍비오즈
사료,로얄캐닌 캣 인도어 7+ 3.5kg 변냄새 감소,48544,로얄캐닌,,https://a.pet-friends.co.kr/@petfriends/navershopping?campaign=navershopping&content=208665&og_tag_id=29360223&routing_short_id=jct12&tracking_template_id=bdc50e110137106a83631427e5479515&ad_type=click&term={query}&query={query},https://shopping-phinf.pstatic.net/main_4904961/49049610867.jpg,49049610867,펫프렌즈
사료,"로얄캐닌 캣 헤어볼 케어, 2kg, 1개",23750,로얄캐닌,로얄캐닌,https://search.shopping.naver.com/catalog/54793110620,https://shopping-phinf.pstatic.net/main_5479311/54793110620.20250515152956.jpg,54793110620,네이버
사료,로얄캐닌 캣 인도어 4kg 변냄새 감소,53710,로얄캐닌,,https://a.pet-friends.co.kr/@petfriends/navershopping?campaign=navershopping&content=208672&og_tag_id=29360233&routing_short_id=q6zwqz&tracking_template_id=a2bf23e0fb6d650b6912a7f13eb0958e&ad_type=click&term={query}&query={query},https://shopping-phinf.pstatic.net/main_5341068/53410680900.jpg,53410680900,펫프렌즈
사료,로얄캐닌 고양이사료 인도어 4kg,59800,로얄캐닌,로얄캐닌,https://smartstore.naver.com/main/products/4821836213,https://shopping-phinf.pstatic.net/main_8236635/82366359065.49.jpg,82366359065,로얄캐닌 전문점
사료,"캣츠러브 고양이 사료 아기 새끼 길고양이 길냥이 대용량 밥 닭고기+오리, 15kg, 1개",32900,캣츠러브,팜스코,https://smartstore.naver.com/main/products/4998830051,https://shopping-phinf.pstatic.net/main_8254335/82543350718.2.jpg,82543350718,갤러리펫
사료,"퓨리나 캣차우 컴플리트, 11.3kg, 1개",57900,퓨리나,네슬레퓨리나,https://search.shopping.naver.com/catalog/54641038543,https://shopping-phinf.pstatic.net/main_5464103/54641038543.20250508075821.jpg,54641038543,네이버
사료,팬시피스트 화이트라벨 고양이 주식캔 참치와 흰살생선 85g,1250,팬시피스트,네슬레퓨리나,https://smartstore.naver.com/main/products/406516115,https://shopping-phinf.pstatic.net/main_9836164/9836164081.6.jpg,9836164081,달과 고양이와 나무
